match_id,season,match_date,venue,city,team1,team2,toss_winner,toss_decision,batting_team,bowling_team,team1_score,team2_score,team1_wickets,team2_wickets,team1_overs,team2_overs,match_winner,win_by_runs,win_by_wickets,player_name,player_team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,overs_bowled,wickets_taken,runs_conceded,economy_rate,player_of_match
1453,2021,2021-05-21,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,Punjab Kings,Sunrisers Hyderabad,160,154,9,8,20.0,20.0,Punjab Kings,6,0,Jonny Bairstow,Punjab Kings,WK-Batsman,7,7,0,0,100.0,0.0,0,0,,0
1154,2017,2017-04-17,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,Delhi Capitals,160,145,9,8,20.0,20.0,Mumbai Indians,15,0,Krunal Pandya,Mumbai Indians,All-Rounder,5,5,0,0,100.0,0.0,0,0,,0
1480,2022,2022-04-19,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Delhi Capitals,144,145,7,2,20.0,18.5,Delhi Capitals,0,8,Kuldeep Sen,Rajasthan Royals,Bowler,0,0,0,0,0.0,2.0,1,12,6.0,0
1476,2022,2022-04-15,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,Punjab Kings,186,174,3,6,20.0,20.0,Sunrisers Hyderabad,12,0,Kartik Tyagi,Sunrisers Hyderabad,Bowler,0,0,0,0,0.0,4.0,2,37,9.25,0
1205,2018,2018-04-01,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Rajasthan Royals,182,170,9,4,20.0,20.0,Royal Challengers Bangalore,12,0,Jos Buttler,Rajasthan Royals,WK-Batsman,2,2,0,0,100.0,0.0,0,0,,0
1277,2019,2019-04-12,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Delhi Capitals,Kolkata Knight Riders,148,172,4,4,20.0,16.3,Kolkata Knight Riders,0,6,Varun Chakravarthy,Kolkata Knight Riders,Bowler,4,6,0,0,66.67,2.0,2,14,7.0,0
1055,2015,2015-05-20,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Delhi Capitals,Royal Challengers Bangalore,151,198,7,2,20.0,17.5,Royal Challengers Bangalore,0,8,Rajat Patidar,Royal Challengers Bangalore,Batsman,0,2,0,0,0.0,0.0,0,0,,0
1160,2017,2017-04-24,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,Kolkata Knight Riders,142,166,5,5,20.0,19.8,Kolkata Knight Riders,0,5,Suryakumar Yadav,Mumbai Indians,Batsman,120,122,7,5,98.36,0.0,0,0,,0
1179,2017,2017-05-12,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Punjab Kings,Sunrisers Hyderabad,160,120,10,4,20.0,20.0,Punjab Kings,40,0,Bhuvneshwar Kumar,Sunrisers Hyderabad,Bowler,3,7,0,0,42.86,3.0,2,27,9.0,0
1099,2016,2016-04-26,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Punjab Kings,Rajasthan Royals,155,171,3,9,20.0,19.9,Rajasthan Royals,0,1,Jos Buttler,Rajasthan Royals,WK-Batsman,34,34,5,2,100.0,0.0,0,0,,0
1245,2018,2018-05-12,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,Mumbai Indians,155,191,6,6,20.0,17.1,Mumbai Indians,0,4,Liam Livingstone,Punjab Kings,All-Rounder,8,8,0,0,100.0,2.0,0,24,12.0,0
1168,2017,2017-05-02,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Rajasthan Royals,Punjab Kings,142,157,10,2,20.0,19.2,Punjab Kings,0,8,Jonny Bairstow,Punjab Kings,WK-Batsman,7,7,0,0,100.0,0.0,0,0,,0
1139,2017,2017-04-02,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,Punjab Kings,182,174,8,6,20.0,20.0,Sunrisers Hyderabad,8,0,Umran Malik,Sunrisers Hyderabad,Bowler,3,5,0,0,60.0,4.0,0,36,9.0,0
1002,2015,2015-03-28,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,174,165,5,4,20.0,20.0,Kolkata Knight Riders,9,0,Glenn Maxwell,Royal Challengers Bangalore,All-Rounder,27,27,1,0,100.0,4.0,0,39,9.75,0
1373,2020,2020-05-11,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Punjab Kings,172,210,7,0,20.0,16.5,Punjab Kings,0,10,Yuzvendra Chahal,Rajasthan Royals,Bowler,8,3,0,0,266.67,3.0,0,24,8.0,0
1043,2015,2015-05-08,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,170,129,5,7,20.0,20.0,Punjab Kings,41,0,Jonny Bairstow,Punjab Kings,WK-Batsman,37,37,3,1,100.0,0.0,0,0,,0
1062,2015,2015-05-27,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,Royal Challengers Bangalore,147,131,4,10,20.0,20.0,Punjab Kings,16,0,Kagiso Rabada,Punjab Kings,Bowler,12,6,0,0,200.0,3.0,0,27,9.0,0
1120,2016,2016-05-17,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,212,158,5,3,20.0,20.0,Chennai Super Kings,54,0,Dwayne Bravo,Chennai Super Kings,All-Rounder,17,18,1,0,94.44,4.0,1,35,8.75,0
1289,2019,2019-04-25,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,144,161,10,3,20.0,18.8,Delhi Capitals,0,7,Mohammed Siraj,Royal Challengers Bangalore,Bowler,0,0,0,0,0.0,4.0,0,42,10.5,0
1207,2018,2018-04-03,"MA Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Delhi Capitals,Chennai Super Kings,167,133,5,10,20.0,20.0,Delhi Capitals,34,0,Ravindra Jadeja,Chennai Super Kings,All-Rounder,5,5,0,0,100.0,1.0,1,14,14.0,0
1514,2022,2022-05-23,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Delhi Capitals,Mumbai Indians,139,90,8,4,20.0,20.0,Delhi Capitals,49,0,Rilee Rossouw,Delhi Capitals,Batsman,18,20,2,1,90.0,0.0,0,0,,0
1491,2022,2022-05-01,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Punjab Kings,Sunrisers Hyderabad,152,153,4,8,20.0,16.7,Sunrisers Hyderabad,0,2,Shikhar Dhawan,Punjab Kings,Batsman,17,17,1,1,100.0,0.0,0,0,,0
1353,2020,2020-04-21,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,Sunrisers Hyderabad,153,166,4,3,20.0,15.0,Sunrisers Hyderabad,0,7,Axar Patel,Delhi Capitals,All-Rounder,1,1,0,0,100.0,4.0,0,37,9.25,0
1010,2015,2015-04-05,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Delhi Capitals,181,144,7,4,20.0,20.0,Royal Challengers Bangalore,37,0,Josh Hazlewood,Royal Challengers Bangalore,Bowler,2,1,0,0,200.0,3.0,1,33,11.0,0
1023,2015,2015-04-17,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,166,178,5,3,20.0,15.5,Rajasthan Royals,0,7,R Ashwin,Rajasthan Royals,All-Rounder,39,39,4,1,100.0,4.0,0,28,7.0,0
1486,2022,2022-04-26,"MA Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,157,174,9,4,20.0,16.7,Chennai Super Kings,0,6,MS Dhoni,Chennai Super Kings,WK-Batsman,3,3,0,0,100.0,0.0,0,0,,0
1215,2018,2018-04-11,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Sunrisers Hyderabad,183,198,5,3,20.0,19.0,Sunrisers Hyderabad,0,7,Heinrich Klaasen,Sunrisers Hyderabad,WK-Batsman,20,20,1,0,100.0,0.0,0,0,,1
1488,2022,2022-04-27,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,Punjab Kings,Royal Challengers Bangalore,197,178,3,10,20.0,20.0,Punjab Kings,19,0,Wanindu Hasaranga,Royal Challengers Bangalore,All-Rounder,17,17,0,1,100.0,4.0,0,32,8.0,0
1067,2015,2015-05-31,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,181,147,4,7,20.0,20.0,Kolkata Knight Riders,34,0,Dinesh Karthik,Royal Challengers Bangalore,WK-Batsman,2,2,0,0,100.0,0.0,0,0,,0
1012,2015,2015-04-07,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,150,155,3,8,20.0,15.6,Kolkata Knight Riders,0,2,Tim Southee,Kolkata Knight Riders,Bowler,8,4,0,0,200.0,4.0,0,44,11.0,0
1375,2020,2020-05-14,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,128,137,7,1,20.0,17.9,Royal Challengers Bangalore,0,9,Glenn Maxwell,Royal Challengers Bangalore,All-Rounder,0,3,0,0,0.0,4.0,0,36,9.0,0
1064,2015,2015-05-28,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,Delhi Capitals,164,127,4,4,20.0,20.0,Sunrisers Hyderabad,37,0,Bhuvneshwar Kumar,Sunrisers Hyderabad,Bowler,10,8,0,0,125.0,3.0,1,28,,0
1013,2015,2015-04-07,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,161,161,3,3,20.0,20.0,Kolkata Knight Riders,0,7,Sunil Narine,Kolkata Knight Riders,All-Rounder,12,12,1,0,100.0,4.0,0,32,8.0,0
1410,2021,2021-04-09,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,195,158,5,3,20.0,20.0,Sunrisers Hyderabad,37,0,Faf du Plessis,Royal Challengers Bangalore,Batsman,1,1,0,0,100.0,0.0,0,0,,0
1527,2023,2023-03-27,"MA Chidambaram Stadium, Chennai",,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,Chennai Super Kings,128,161,8,5,20.0,17.5,Chennai Super Kings,0,5,Ruturaj Gaikwad,Chennai Super Kings,Batsman,6,7,0,0,85.71,0.0,0,0,,0
1208,2018,2018-04-04,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Punjab Kings,Rajasthan Royals,170,132,7,5,20.0,20.0,Punjab Kings,38,0,Matthew Short,Punjab Kings,All-Rounder,23,23,2,1,100.0,3.0,0,30,10.0,0
1244,2018,2018-05-11,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Kolkata Knight Riders,188,171,8,10,20.0,20.0,Chennai Super Kings,17,0,Matheesha Pathirana,Chennai Super Kings,Bowler,2,6,0,0,33.33,2.0,0,11,5.5,0
1504,2022,2022-05-13,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,Sunrisers Hyderabad,127,163,4,5,20.0,17.7,Sunrisers Hyderabad,0,5,Mayank Agarwal,Sunrisers Hyderabad,Batsman,3,3,0,0,100.0,0.0,0,0,,0
1111,2016,2016-05-08,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,137,172,8,2,20.0,15.0,Sunrisers Hyderabad,0,8,Yuzvendra Chahal,Rajasthan Royals,Bowler,0,0,0,0,0.0,3.0,0,25,8.33,0
1549,2023,2023-04-18,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,Mumbai Indians,117,160,9,4,20.0,19.0,Mumbai Indians,0,6,Piyush Chawla,Mumbai Indians,Bowler,6,4,0,0,150.0,3.0,2,17,5.67,0
1015,2015,2015-04-10,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,136,137,6,9,20.0,17.5,Kolkata Knight Riders,0,1,T Natarajan,Sunrisers Hyderabad,Bowler,1,9,0,0,11.11,3.0,0,25,8.33,0
1430,2021,2021-04-28,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Sunrisers Hyderabad,187,142,9,6,20.0,20.0,Royal Challengers Bangalore,45,0,Marco Jansen,Sunrisers Hyderabad,All-Rounder,22,22,2,0,100.0,4.0,2,27,6.75,0
1316,2019,2019-05-22,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,Mumbai Indians,135,173,10,6,20.0,15.6,Mumbai Indians,0,4,Trent Boult,Mumbai Indians,Bowler,2,6,0,0,33.33,3.0,2,24,8.0,0
1421,2021,2021-04-20,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,174,143,4,10,20.0,20.0,Punjab Kings,31,0,Prithvi Shaw,Delhi Capitals,Batsman,18,19,1,0,94.74,0.0,0,0,,0
1493,2022,2022-05-02,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,161,188,9,3,20.0,19.5,Royal Challengers Bangalore,0,7,Mohammed Siraj,Royal Challengers Bangalore,Bowler,1,6,0,0,16.67,3.0,0,13,4.33,0
1376,2020,2020-05-14,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Mumbai Indians,200,165,8,8,20.0,20.0,Chennai Super Kings,35,0,Piyush Chawla,Mumbai Indians,Bowler,4,4,0,0,100.0,3.0,0,27,9.0,0
1029,2015,2015-04-24,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Punjab Kings,Punjab Kings,bat,Punjab Kings,Delhi Capitals,174,152,7,10,20.0,20.0,Punjab Kings,22,0,Liam Livingstone,Punjab Kings,All-Rounder,40,40,3,1,100.0,2.0,0,19,9.5,0
1147,2017,2017-04-10,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,Sunrisers Hyderabad,191,189,8,3,20.0,20.0,Chennai Super Kings,2,0,Abhishek Sharma,Sunrisers Hyderabad,All-Rounder,53,53,2,1,100.0,0.0,0,0,,0
1573,2023,2023-05-13,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Kolkata Knight Riders,151,145,6,10,20.0,20.0,Rajasthan Royals,6,0,Tim Southee,Kolkata Knight Riders,Bowler,1,1,0,0,100.0,4.0,2,39,9.75,0
1340,2020,2020-04-09,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,Sunrisers Hyderabad,167,169,6,9,20.0,19.4,Sunrisers Hyderabad,0,1,Rishabh Pant,Delhi Capitals,WK-Batsman,20,22,2,0,90.91,0.0,0,0,,0
1376,2020,2020-05-14,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Mumbai Indians,200,165,8,8,20.0,20.0,Chennai Super Kings,35,0,Dwayne Bravo,Chennai Super Kings,All-Rounder,7,7,0,0,100.0,3.0,3,33,11.0,0
1508,2022,2022-05-17,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,163,109,7,4,20.0,20.0,Chennai Super Kings,54,0,Ruturaj Gaikwad,Chennai Super Kings,Batsman,9,9,1,0,100.0,0.0,0,0,,0
1301,2019,2019-05-07,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,Delhi Capitals,152,164,9,4,20.0,18.8,Delhi Capitals,0,6,Arshdeep Singh,Punjab Kings,Bowler,0,0,0,0,0.0,4.0,2,35,8.75,0
1023,2015,2015-04-17,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,166,178,5,3,20.0,15.5,Rajasthan Royals,0,7,Kuldeep Sen,Rajasthan Royals,Bowler,10,4,0,0,250.0,3.0,2,14,,0
1391,2020,2020-05-30,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,172,154,10,5,20.0,20.0,Punjab Kings,18,0,Shikhar Dhawan,Punjab Kings,Batsman,4,4,0,0,100.0,0.0,0,0,,0
1125,2016,2016-05-21,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,Mumbai Indians,201,221,4,3,20.0,18.8,Mumbai Indians,0,7,Khaleel Ahmed,Delhi Capitals,Bowler,13,10,0,0,130.0,4.0,0,32,8.0,0
1169,2017,2017-05-03,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,Punjab Kings,186,133,7,6,20.0,20.0,Rajasthan Royals,53,0,Rahul Chahar,Punjab Kings,Bowler,0,0,0,0,0.0,2.0,1,20,10.0,0
1460,2022,2022-03-31,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Chennai Super Kings,181,183,8,4,20.0,18.0,Chennai Super Kings,0,6,Devon Conway,Chennai Super Kings,WK-Batsman,10,10,0,0,100.0,0.0,0,0,,0
1388,2020,2020-05-26,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Mumbai Indians,Punjab Kings,187,169,6,8,20.0,20.0,Mumbai Indians,18,0,Kieron Pollard,Mumbai Indians,All-Rounder,10,10,0,0,100.0,2.0,1,17,8.5,0
1343,2020,2020-04-11,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,Royal Challengers Bangalore,170,158,9,4,20.0,20.0,Mumbai Indians,12,0,Josh Hazlewood,Royal Challengers Bangalore,Bowler,9,1,0,0,900.0,2.0,1,15,7.5,0
1318,2019,2019-05-24,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,Mumbai Indians,190,175,3,4,20.0,20.0,Rajasthan Royals,15,0,Yashasvi Jaiswal,Rajasthan Royals,Batsman,14,16,2,0,87.5,0.0,0,0,,1
1547,2023,2023-04-16,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,Kolkata Knight Riders,145,139,9,8,20.0,20.0,Mumbai Indians,6,0,Lockie Ferguson,Kolkata Knight Riders,Bowler,3,1,0,0,,3.0,1,33,11.0,0
1186,2017,2017-05-19,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Delhi Capitals,179,146,4,3,20.0,20.0,Sunrisers Hyderabad,33,0,Kartik Tyagi,Sunrisers Hyderabad,Bowler,1,3,0,0,33.33,4.0,2,39,9.75,0
1169,2017,2017-05-03,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,Punjab Kings,186,133,7,6,20.0,20.0,Rajasthan Royals,53,0,Sam Curran,Punjab Kings,All-Rounder,10,10,0,0,100.0,1.0,1,8,8.0,0
1303,2019,2019-05-09,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Delhi Capitals,167,117,4,6,20.0,20.0,Chennai Super Kings,50,0,Ruturaj Gaikwad,Chennai Super Kings,Batsman,50,50,4,4,,0.0,0,0,,0
1151,2017,2017-04-14,"MA Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,203,169,7,9,20.0,20.0,Chennai Super Kings,34,0,Kieron Pollard,Mumbai Indians,All-Rounder,4,4,0,0,100.0,2.0,0,20,10.0,0
